"","voi_names","vars","var_coeffs","var_pvals","adj_var_pvals"
"1",Birth_CD4_C3,voi,0.553667018685438,0.0356604259382897,0.0813399400249397
"2",Birth_CD4_C6,voi,-0.515511909848969,0.048204930381507,0.0813399400249397
"3",Birth_CD4_C7,voi,2.62438818871458,0.341311067474527,0.341311067474527
"4",Birth_CD4_C8,voi,0.476717625985329,0.0529991867811186,0.0813399400249397
"5",Birth_CD4_C10,voi,-0.744409033667262,0.0155377961272461,0.0813399400249397
"6",Birth_CD4_C11,voi,-0.51103420671372,0.0371820425543124,0.0813399400249397
"7",Birth_CD4_C15,voi,-0.588024511127704,0.0253253541126089,0.0813399400249397
"8",OneYear_CD8_C1,voi,-0.858917326096548,0.089412305410533,0.10729476649264
"9",Birth_TPHE_C20,voi,-0.605774755122715,0.0542266266832931,0.0813399400249397
"10",Birth_TPHE_C22,voi,0.667599669026408,0.0250182352970723,0.0813399400249397
"11",Discharge_TPHE_C17,voi,-0.663842092508387,0.071544976688718,0.0978127304244125
"12",Discharge_TPHE_C20,voi,-0.677992659440132,0.0399147370165636,0.0813399400249397
"13",OneYear_TPHE_C17,voi,-0.521445030267924,0.0445206137930231,0.0813399400249397
"14",OneYear_TPHE_C23,voi,-0.51278553895136,0.0760765681078764,0.0978127304244125
"15",Birth_TPHE_CD8_C5,voi,0.640482459837062,0.0205027653287176,0.0813399400249397
"16",Discharge_TPHE_CD8_C1,voi,1.20052576442825,0.149256479732706,0.167913539699295
"17",Discharge_TPHE_CD8_C7,voi,2.53958546607989,0.201403921662821,0.213251211172399
"18",Discharge_TPHE_CD8_C19,voi,0.655525224123609,0.0168641823054915,0.0813399400249397
